first,last,id.bioguide,current_type,current_party,current_state,term_start,term_end,social.youtube,social.youtube_id,social.twitter,social.twitter_id,social.instagram,social.instagram_id,social.facebook,youtube_url
Eric,Burlison,B001316,rep,Republican,MO,2025-01-03,2027-01-03,UCuJFygzYhGiXMZHjhTQy20w,,RepEricBurlison,1.6063425947655905e+18,RepEricBurlison,,100089208900263,
Becca,Balint,B001318,rep,Democrat,VT,2025-01-03,2027-01-03,YouTubeChannelID,,RepBeccaB,1.6061151782103654e+18,repbeccab,,repbeccab,
Eli,Crane,C001132,rep,Republican,AZ,2025-01-03,2027-01-03,@rep.elicrane,,RepEliCrane,1.6088912059027948e+18,,,100088851021670,
Juan,Ciscomani,C001133,rep,Republican,AZ,2025-01-03,2027-01-03,UCD329AYGX7YnMMSUaTKWHwA,,RepCiscomani,1.6035309705937756e+18,repjuanciscomani,,100089186535085,
Mike,Ezell,E000235,rep,Republican,MS,2025-01-03,2027-01-03,UCseRXy2_n4j97lndfkQ_hAw,,RepEzell,1.6027880047493448e+18,repmikeezell,,repezell,
Valerie,Foushee,F000477,rep,Democrat,NC,2025-01-03,2027-01-03,@RepValerieFoushee,,ValerieFoushee,1.6114711547320607e+18,repvaleriefoushee,,RepValerieFoushee,
Russell,Fry,F000478,rep,Republican,SC,2025-01-03,2027-01-03,@reprussellfry,,RepRussellFry,1.603514304354984e+18,reprussellfry,,reprussellfry,
Marie,Gluesenkamp Perez,G000600,rep,Democrat,WA,2025-01-03,2027-01-03,@repmgp,,RepMGP,1.6031278745124536e+18,repmgp,,RepMGP,
Kevin,Kiley,K000401,rep,Republican,CA,2025-01-03,2027-01-03,@repkevinkiley,,RepKiley,1.6103569614758093e+18,,,100089382125341,
Anna,Luna,L000596,rep,Republican,FL,2025-01-03,2027-01-03,@RepLuna,,RepLuna,1.6102308352899236e+18,repluna,,,
Michael,Lawler,L000599,rep,Republican,NY,2025-01-03,2027-01-03,@RepMikeLawler,,RepMikeLawler,1.5903720470158868e+18,RepMikeLawler,,RepMikeLawler,
Jared,Moskowitz,M001217,rep,Democrat,FL,2025-01-03,2027-01-03,@RepMoskowitz,,RepMoskowitz,1.61000902774383e+18,repmoskowitz,,RepMoskowitz,
Kevin,Mullin,M001225,rep,Democrat,CA,2025-01-03,2027-01-03,UCAenuXjUZagZyD4HQL7_2ZA,,RepKevinMullin,1.610411994888409e+18,repkevinmullin,,CongressmanKevinMullin,
Zachary (Zach),Nunn,N000193,rep,Republican,IA,2025-01-03,2027-01-03,UCHcM0qd2GQ2CbOHSGZ06rrA,,ZachNunn,1.610323831809364e+18,repzachnunn,,RepZachNunn,
Emilia,Sykes,S001223,rep,Democrat,OH,2025-01-03,2027-01-03,@repemiliasykes,,RepEmiliaSykes,1.6115278357425193e+18,RepEmiliaSykes,,repemiliasykes,
Jill,Tokuda,T000487,rep,Democrat,HI,2025-01-03,2027-01-03,UCBXwZrEZWQiSXebInVuYuvw,,RepJillTokuda,1.6107304775638057e+18,repjilltokuda,,RepJillTokuda,
Brad,Finstad,F000475,rep,Republican,MN,2025-01-03,2027-01-03,@repfinstad,,RepFinstad,,repfinstad,,RepFinstad,
John,James,J000307,rep,Republican,MI,2025-01-03,2027-01-03,@RepJohnJames,,RepJames,,RepJohnJames,,RepJohnJames,
Mark,Alford,A000379,rep,Republican,MO,2025-01-03,2027-01-03,@RepAlford,,RepMarkAlford,,RepMarkAlford,,100089595940547,
Max,Miller,M001222,rep,Republican,OH,2025-01-03,2027-01-03,@RepMaxMiller,,repmaxmiller,,repmaxmiller,,CongressmanMaxMiller,
Josh,Brecheen,B001317,rep,Republican,OK,2025-01-03,2027-01-03,UCSX3nV53o-1-e0nFA6pPs2w,,repbrecheen,,repbrecheen,,100089040632497,
Summer,Lee,L000602,rep,Democrat,PA,2025-01-03,2027-01-03,UCqQJ44qlkVxWV5N12YeacyA,,RepSummerLee,,repsummerlee,,RepSummerLee,
Nathaniel,Moran,M001224,rep,Republican,TX,2025-01-03,2027-01-03,@RepNateMoran,,RepNateMoran,,RepNateMoran,,RepNateMoran,
Mónica,De La Cruz,D000594,rep,Republican,TX,2025-01-03,2027-01-03,@RepMonicaDLC,,RepMonicaDLC,,RepMonicaDLC,,RepMonicaDLC,
Jennifer,Kiggans,K000399,rep,Republican,VA,2025-01-03,2027-01-03,@repjenkiggans,,RepJenKiggans,,repjenkiggans,,repjenkiggans,
Harriet,Hageman,H001096,rep,Republican,WY,2025-01-03,2027-01-03,@rephageman,,RepHageman,,,,,
Celeste,Maloy,M001228,rep,Republican,UT,2025-01-03,2027-01-03,@RepCelesteMaloy,,RepMaloyUtah,,RepCelesteMaloy,,61555755717517,
Timothy,Kennedy,K000402,rep,Democrat,NY,2025-01-03,2027-01-03,@reptimkennedy,,reptimkennedy,,reptimkennedy,,reptimkennedy,
Jeff,Hurd,H001100,rep,Republican,CO,2025-01-03,2027-01-03,@RepJeffHurd03,,RepJeffHurd,,repjeffhurd,,61571570223582,
Lance,Gooden,G000589,rep,Republican,TX,2025-01-03,2027-01-03,UCaEs0pYlL_1cLlPBHfl0RIg,,,,,,,
